,Unnamed: 0,1,X,2,1or2,Xor2,1orX
0,Aston Villa vs Newcastle United,3.6,3.45,2.15,1.33,3.50,1.47
1,Tottenham Hotspur vs Bournemouth,4.7,7.0,1.23,4.50,2.65,3.45
2,Chelsea vs Brighton and Hove Albion,2.7,1.3,3.65,2.50,3.30,3.0
3,Wolverhampton Wanderers vs Brentford,1.42,3.05,2.1,3.45,3.75,1.42
4,Everton vs Fulham,3.05,2.85,3.25,2.65,1.43,2.95
5,Southampton vs Crystal Palace,1.16,8.5,19.0,1.10,8.00,5.9
6,Manchester City vs Leicester City,4.4,1.58,1.27,4.10,4.90,4.1
7,West Ham United vs Arsenal,1.7,1.25,4.2,4.40,4.20,1.75
8,Nottingham Forest vs Manchester United,1.18,5.1,1.2,6.80,14.50,1.15
9,Leeds United vs Liverpool,5.6,2.5,3.45,2.80,1.32,3.5
10,Arsenal vs Southampton,2.35,3.4,3.05,1.35,3.30,1.25
11,Fulham vs Leeds United,6.2,12.5,1.15,5.60,2.15,3.25
12,Brentford vs Aston Villa,3.7,1.47,2.75,2.50,3.35,2.85
13,Liverpool vs Nottingham Forest,1.38,3.1,1.9,3.70,4.10,1.3
14,Crystal Palace vs Everton,3.6,3.1,3.35,2.35,1.35,3.3
15,Leicester City vs Wolverhampton Wanderers,2.25,3.4,3.3,1.40,3.05,2.3
16,Newcastle United vs Tottenham Hotspur,3.8,2.85,1.23,4.40,1.75,4.1
17,Bournemouth vs West Ham United,4.5,1.23,4.4,1.65,4.20,4.9
18,Wolverhampton Wanderers vs Crystal Palace,1.23,4.3,2.25,3.10,3.75,1.48
19,Leeds United vs Leicester City,2.75,1.43,4.9,7.50,1.20,4.9
20,Aston Villa vs Fulham,2.3,3.25,3.45,1.48,2.75,
21,Manchester City vs Arsenal,1.85,3.6,4.6,1.38,3.20,
22,Rayo Vallecano vs Osasuna,6.0,4.3,1.58,1.25,4.20,
23,Villarreal CF vs Real Valladolid CF,1.55,4.4,6.4,1.27,3.95,
24,Athletic Club Bilbao vs Real Sociedad,6.3,3.95,1.6,1.42,3.00,
25,Real Betis vs Espanyol,1.23,6.5,13.5,1.18,5.20,
26,Cadiz vs Real Madrid,2.15,3.35,3.65,1.45,2.90,
27,Girona vs Elche CF,1.8,3.35,5.3,1.55,2.50,
28,Getafe vs Barcelona,2.05,3.4,3.85,1.45,2.85,
29,Atletico Madrid vs Almeria,2.8,3.25,2.7,1.45,2.85,
30,Valencia vs Sevilla,3.85,3.75,1.95,1.30,3.60,
31,Celta Vigo vs Mallorca,1.7,3.7,5.6,1.43,2.90,
32,Espanyol vs Cadiz,2.35,3.5,3.0,1.32,3.55,
33,Osasuna vs Real Betis,1.4,5.2,7.5,1.18,4.90,
34,Almeria vs Athletic Club Bilbao,4.1,3.5,1.95,1.38,3.10,
35,Real Sociedad vs Rayo Vallecano,1.95,3.6,4.0,1.33,3.35,
36,Real Valladolid CF vs Girona,2.15,2.95,4.3,1.75,2.10,
37,Real Madrid vs Celta Vigo,3.45,3.5,2.15,1.33,3.35,
38,Elche CF vs Valencia,2.5,3.3,2.95,1.35,3.35,
39,Barcelona vs Atletico Madrid,5.3,3.7,1.75,1.38,3.20,
40,Mallorca vs Getafe,3.1,3.25,2.45,1.45,2.90,
41,Sevilla vs Villarreal CF,1.55,4.2,6.7,1.32,3.55,
42,Cremonese vs Empoli,1.45,4.6,7.8,1.27,4.10,
43,Spezia vs Lazio,2.0,3.35,4.4,1.48,2.80,
44,Bologna vs AC Milan,1.75,3.7,5.4,1.43,2.95,
45,Napoli vs Hellas Verona FC,3.65,3.55,2.1,1.35,3.40,
46,FC Internazionale vs AC Monza Brianza 1912,1.9,3.5,4.5,1.43,2.95,
47,Lecce vs Sampdoria,2.4,3.5,2.95,1.28,3.75,
48,Torino vs Salernitana,2.8,3.1,2.7,1.50,2.65,
49,Sassuolo vs Juventus,3.0,3.5,2.35,1.28,3.75,
50,AS Roma vs Udinese,1.9,3.35,4.6,1.48,2.70,
51,Fiorentina vs Atalanta BC,2.5,3.3,2.95,1.35,3.25,
52,Hellas Verona FC vs Bologna,5.7,4.2,1.58,1.25,4.10,
53,Salernitana vs Sassuolo,3.7,3.55,2.05,1.33,3.45,
54,Lazio vs Torino,1.65,4.0,5.5,1.25,4.00,
55,Sampdoria vs Spezia,1.52,4.2,6.7,1.33,3.45,
56,Empoli vs FC Internazionale,2.95,3.25,2.55,1.38,3.10,
57,AC Monza Brianza 1912 vs Fiorentina,2.3,3.4,3.2,1.33,3.35,
58,Udinese vs Cremonese,2.4,3.35,3.15,1.38,3.20,
59,AC Milan vs Lecce,2.6,3.45,2.8,1.33,3.45,
60,Juventus vs Napoli,1.22,7.8,13.0,1.07,10.50,
61,Atalanta BC vs AS Roma,1.25,6.7,12.0,1.14,6.30,
62,Schalke 04 vs Hertha Berlin,3.5,3.85,2.05,1.22,4.60,
63,FC Koln vs Mainz 05,1.75,4.2,4.5,1.22,4.70,
64,Bayern Munich vs Hoffenheim,2.7,3.6,2.55,1.28,3.90,
65,RB Leipzig vs Augsburg,1.6,4.0,6.1,1.37,3.25,
66,Stuttgart vs Borussia Dortmund,2.75,3.65,2.5,1.25,4.40,
67,Eintracht Frankfurt vs Borussia Monchengladbach,2.95,3.65,2.3,1.28,3.80,
68,Werder Bremen vs Freiburg,5.7,4.8,1.52,1.16,5.60,
69,Union Berlin vs Bochum,2.2,3.7,3.1,1.27,3.95,
70,Wolfsburg vs Bayer Leverkusen,2.3,3.65,2.95,1.25,4.10,
71,Augsburg vs Stuttgart,3.5,3.75,2.05,1.28,3.80,
72,Mainz 05 vs Bayern Munich,1.7,4.2,4.8,1.20,4.70,
73,Hertha Berlin vs Werder Bremen,1.7,3.85,4.9,1.32,3.50,
74,Hoffenheim vs FC Koln,2.6,3.7,2.55,1.23,4.30,
75,Bochum vs Wolfsburg,2.35,3.4,3.05,1.35,3.30,
76,Borussia Dortmund vs Eintracht Frankfurt,3.5,3.85,2.05,1.18,5.10,
77,Freiburg vs Schalke 04,2.25,3.65,3.2,1.28,3.95,
78,Bayer Leverkusen vs RB Leipzig,1.65,4.5,4.7,1.18,5.20,
79,Borussia Monchengladbach vs Union Berlin,1.52,4.7,6.2,1.20,5.00,
